 Date Time Temp Humidity Light
8-10-2017 1401 22 67 242
8-10-2017 1406 21 66 243
8-10-2017 1411 22 67 240
8-10-2017 1416 21 66 240
8-10-2017 1421 22 67 342
8-10-2017 1426 22 67 341
8-10-2017 1431 21 67 340
8-10-2017 1436 22 67 344
9-10-2017 1 22 67 339
9-10-2017 6 22 67 336
9-10-2017 11 21 66 335
9-10-2017 16 21 67 336
9-10-2017 21 21 67 338
9-10-2017 26 21 65 339
9-10-2017 31 21 66 340
9-10-2017 36 21 66 859
9-10-2017 41 21 66 1017
9-10-2017 46 21 66 1016
9-10-2017 51 21 66 1016
9-10-2017 56 21 67 1016
9-10-2017 61 21 67 1016
9-10-2017 66 21 67 1016
9-10-2017 71 22 67 1016
9-10-2017 76 22 67 865
9-10-2017 81 22 67 1016
9-10-2017 86 22 67 1016
9-10-2017 91 22 68 1016
9-10-2017 96 22 68 1016
9-10-2017 101 21 68 1015
9-10-2017 106 22 68 1015
9-10-2017 111 21 68 1016
9-10-2017 116 21 68 1016
9-10-2017 121 21 68 1015
9-10-2017 126 21 68 1016
9-10-2017 131 21 68 1016
9-10-2017 136 21 68 1016
9-10-2017 141 21 68 1016
9-10-2017 146 22 68 1016
9-10-2017 151 22 68 1016
9-10-2017 156 22 68 1016
9-10-2017 161 22 68 1015
9-10-2017 166 22 68 1016
9-10-2017 171 22 69 1015
9-10-2017 176 22 68 1015
9-10-2017 181 22 69 1015
9-10-2017 186 22 69 1016
9-10-2017 191 22 69 1016
9-10-2017 196 22 69 1016
9-10-2017 201 22 69 1015
9-10-2017 206 22 69 1016
9-10-2017 211 22 69 1015
9-10-2017 216 22 69 1016
9-10-2017 221 22 69 1015
9-10-2017 226 23 68 1016
9-10-2017 231 22 69 1015
9-10-2017 236 22 69 1016
9-10-2017 241 22 69 1015
9-10-2017 246 22 69 1016
9-10-2017 251 22 69 1016
9-10-2017 256 22 69 1015
9-10-2017 261 22 70 1015
9-10-2017 266 22 70 1015
9-10-2017 271 23 69 1016
9-10-2017 276 23 69 1015
9-10-2017 281 23 69 1016
9-10-2017 286 22 70 1016
9-10-2017 291 23 69 1015
9-10-2017 296 23 69 1016
9-10-2017 301 23 69 1015
9-10-2017 306 23 69 1015
9-10-2017 311 23 69 1015
9-10-2017 316 23 69 1015
9-10-2017 321 23 69 1016
9-10-2017 326 23 69 1015
9-10-2017 331 23 70 1015
9-10-2017 336 23 70 1014
9-10-2017 341 23 70 1013
9-10-2017 346 22 71 1010
9-10-2017 351 23 70 1005
9-10-2017 356 22 71 997
9-10-2017 361 22 71 987
9-10-2017 366 22 71 977
9-10-2017 371 23 70 974
9-10-2017 376 23 70 960
9-10-2017 381 22 71 961
9-10-2017 386 23 70 967
9-10-2017 391 23 70 958
9-10-2017 396 23 70 952
9-10-2017 401 23 70 955
9-10-2017 406 23 70 952
9-10-2017 411 23 70 972
9-10-2017 416 23 70 983
9-10-2017 421 23 70 981
9-10-2017 426 23 70 975
9-10-2017 431 23 70 969
9-10-2017 436 23 70 947
9-10-2017 441 23 70 917
9-10-2017 446 23 70 912
9-10-2017 451 23 70 904
9-10-2017 456 23 70 892
9-10-2017 461 23 71 859
9-10-2017 466 23 71 847
9-10-2017 471 23 71 839
9-10-2017 476 23 71 854
9-10-2017 481 23 71 870
9-10-2017 486 23 71 865
9-10-2017 491 23 71 839
9-10-2017 496 23 71 800
9-10-2017 501 23 71 785
9-10-2017 506 23 71 834
9-10-2017 511 23 71 834
9-10-2017 516 23 71 822
9-10-2017 521 23 71 872
9-10-2017 526 23 71 862
9-10-2017 531 23 71 849
9-10-2017 536 23 71 854
9-10-2017 541 23 71 854
9-10-2017 546 23 71 891
9-10-2017 551 23 71 893
9-10-2017 556 23 71 867
9-10-2017 561 23 71 835
9-10-2017 566 23 71 842
9-10-2017 571 23 71 827
9-10-2017 576 23 72 821
9-10-2017 581 23 72 813
9-10-2017 586 23 72 844
9-10-2017 591 23 72 876
9-10-2017 596 23 72 878
9-10-2017 601 23 72 893
9-10-2017 606 23 72 889
9-10-2017 611 23 72 851
9-10-2017 616 23 72 773
9-10-2017 621 23 72 758
9-10-2017 626 23 72 741
9-10-2017 631 23 72 767
9-10-2017 636 23 72 796
9-10-2017 641 23 72 813
9-10-2017 646 23 72 827
9-10-2017 651 23 72 799
9-10-2017 656 23 72 776
9-10-2017 660 23 72 777
9-10-2017 665 23 72 779
9-10-2017 670 23 72 785
9-10-2017 675 23 73 824
9-10-2017 680 23 72 800
9-10-2017 685 23 73 784
9-10-2017 690 23 73 786
9-10-2017 695 23 72 768
9-10-2017 700 23 72 739
9-10-2017 705 23 72 428
9-10-2017 710 23 72 403
9-10-2017 715 23 72 427
9-10-2017 720 23 72 472
9-10-2017 725 22 73 423
9-10-2017 730 22 73 426
9-10-2017 735 22 73 406
9-10-2017 740 22 73 391
9-10-2017 745 22 73 343
9-10-2017 750 22 73 316
9-10-2017 755 22 73 341
9-10-2017 760 22 74 369
9-10-2017 765 22 74 358
9-10-2017 770 22 74 404
9-10-2017 775 22 74 407
9-10-2017 780 22 74 406
9-10-2017 785 22 74 408
9-10-2017 790 22 74 370
9-10-2017 795 22 74 328
9-10-2017 800 22 74 303
9-10-2017 805 22 74 257
9-10-2017 810 22 74 284
9-10-2017 815 22 73 285
9-10-2017 820 22 73 310
9-10-2017 825 22 73 359
9-10-2017 830 22 73 418
9-10-2017 835 22 74 470
